capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
211680 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.097632931 1.100401075 1.098102710 1.101104446 1.097913211 1.100648820 1.100625100 1.096110675 1.096077871 1.096077871 1.096865948 1.096865948 1.097229031  
229320 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.097447694 1.099596464 1.097644217 1.099973234 1.097677510 1.100238664 1.100103428 1.090010492 1.089504491 1.089504491 1.095107599 1.095107599 1.088636242  
246960 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.095219264 1.092794388 1.096474350 1.091717095 1.096550798 1.090987091 1.092660320 1.079662922 1.072271044 1.072271044 1.088783960 1.088783960 1.075734894  
264600 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.091601505 1.085556579 1.093982343 1.084124971 1.095357904 1.083616083 1.083816490 1.079602551 1.072041771 1.072041771 1.069240391 1.069240391 1.070974785  
282240 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.091601505 1.085556579 1.093982343 1.084124971 1.095357904 1.083616083 1.083816490 1.079143054 1.071811608 1.071811608 1.068918357 1.068918357 1.070652751  
299880 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.090714716 1.084878860 1.091344471 1.083056498 1.092720032 1.082877630 1.083216729 1.070214622 1.061668360 1.061668360 1.059341357 1.059341357 1.060263118  
317520 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.074464748 1.071903644 1.077834707 1.069677218 1.079130664 1.068312815 1.068625143 1.055783675 1.046728184 1.046728184 1.045278969 1.045278969 1.046251708  
335160 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.025728704 1.024185308 1.030445288 1.026728918 1.030169828 1.024976978 1.024703731 1.009731518 1.002038459 1.002038459 1.004954401 1.004954401 1.005529505  
176400 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.129513129 1.131423657 1.129495690 1.131867648 1.129282768 1.131840394 1.132005044 1.128184762 1.128218611 1.128218611 1.128365197 1.128365197 1.128344385  
194040 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.129513129 1.131423657 1.129495690 1.131867648 1.129282768 1.131840394 1.132005044 1.128184762 1.128218611 1.128218611 1.128365197 1.128365197 1.128344385  
211680 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.129513129 1.131423657 1.129495690 1.131867648 1.129282768 1.131840394 1.132005044 1.128223660 1.128077223 1.128077223 1.128365197 1.128365197 1.128202997  
229320 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.129200155 1.130733832 1.129121644 1.130891752 1.128526606 1.131061036 1.131224442 1.124464982 1.123541697 1.123541697 1.125767343 1.125767343 1.122769743  
246960 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.126742817 1.123196619 1.127559315 1.124403598 1.127326335 1.121254002 1.121911467 1.114201000 1.105326205 1.105326205 1.119809787 1.119809787 1.109464039  
264600 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.124338332 1.117570492 1.126946363 1.117662518 1.126341425 1.114411281 1.114227348 1.112280404 1.105267456 1.105267456 1.103988076 1.103988076 1.104426932  
282240 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.124338332 1.117570492 1.126804975 1.117662518 1.126200037 1.114411281 1.114227348 1.111967565 1.105010639 1.105010639 1.103663760 1.103663760 1.104113942  
299880 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.124065273 1.116748423 1.125239233 1.117158282 1.124991114 1.113561705 1.113537987 1.105599806 1.096644689 1.096644689 1.096419607 1.096419607 1.096171486  
317520 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.111651816 1.105275625 1.115104041 1.107386168 1.114637436 1.104179991 1.103379439 1.095154187 1.085402813 1.085402813 1.086744605 1.086744605 1.085108752  
335160 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.057440320 1.057129332 1.063335952 1.058837182 1.061217001 1.055847404 1.055795330 1.044449339 1.037886561 1.037886561 1.039094585 1.039094585 1.038865480  
176400 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.090211601 1.092366503 1.090337557 1.093073102 1.090028120 1.092419405 1.092397591 1.088993538 1.088886616 1.088886616 1.089126217 1.089126217 1.089189500  
194040 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.090211601 1.092366503 1.090337557 1.093073102 1.090028120 1.092419405 1.092397591 1.088993538 1.088886616 1.088886616 1.089126217 1.089126217 1.089189500  
211680 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.090211601 1.092366503 1.090337557 1.093073102 1.090028120 1.092419405 1.092397591 1.088472084 1.088343590 1.088343590 1.089126217 1.089126217 1.088545948  
229320 1.096167052 0.991011755 0.991011755 0.105155297 0.991035073 1.089228496 1.090763198 1.090212589 1.091227947 1.089818360 1.090887730 1.090926366 1.081855936 1.080274430 1.080274430 1.087497039 1.087497039 1.079840323  
