capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory_makespan order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
2754066428 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2256.805090720 2175.070557147 2372.432748689 2174.917418670 2352.023677364 2325.471993304 2256.650016444 2094.410767823 2240.463073000 2240.463073000 2151.911291051 2151.911291051 2343.392378310  
2937670856 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2230.805979768 2129.974660136 2354.651826034 2169.583837235 2347.505638100 2325.471993304 2256.650016444 2110.033805174 2181.335263435 2181.335263435 2147.194810965 2147.194810965 2298.906342679  
3121275284 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2230.474079970 2109.879390902 2354.651826034 2163.769659587 2347.311240809 2325.471993304 2256.650016444 2088.300569097 2178.394364032 2178.394364032 2129.217269353 2129.217269353 2275.732501711  
3304879712 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2182.588120734 2109.879390902 2354.651826034 2159.559066151 2333.647762357 2325.471993304 2241.961709219 2088.400568718 2175.790799219 2175.790799219 2144.094819286 2144.094819286 2280.834316973  
3488484140 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2148.525289701 2104.381338214 2326.367706482 2154.647677256 2333.647762357 2325.121513610 2228.365896892 2088.359015065 2163.334088989 2163.334088989 2116.960572929 2116.960572929 2272.653972480  
1836044288 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2842.198619570 2662.477937616 2799.894800081 2807.741397240 2793.674903274 2766.377847622 2718.610561970 2683.287763790 2804.111317214 2804.111317214 2694.067733786 2694.067733786 2753.669239259  
2019648716 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2798.900114406 2643.228508895 2799.894800081 2807.369202544 2780.266287669 2766.377847622 2688.174859422 2661.874699450 2734.640387306 2734.640387306 2664.827125182 2664.827125182 2745.630092659  
2203253144 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2754.360337501 2642.925295139 2788.425241203 2807.369202544 2780.266287669 2766.377847622 2688.174859422 2661.874699450 2733.902160495 2733.902160495 2671.249207332 2671.249207332 2736.482147495  
2386857572 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2754.337614483 2633.141940094 2751.846189922 2754.825307248 2733.915853162 2733.825687476 2664.801730213 2631.711411026 2752.227990669 2752.227990669 2675.291362430 2675.291362430 2741.483891211  
2570462000 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2701.481469516 2633.141940094 2751.846189922 2754.252883856 2729.189879004 2733.654706101 2664.801730213 2631.711411026 2753.175649613 2753.175649613 2698.646431001 2698.646431001 2750.581306874  
