capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
2386857572 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3501.234692803 3517.268021584 3550.203270987 3489.473282747 3663.265092629 3481.635139632 3398.674158528 3545.102933106 3545.102933106 3340.303843705 3340.303843705 3406.533441632
2570462000 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3462.626675235 3517.268021584 3537.723930397 3489.473282747 3663.265092629 3481.635139632 3388.164502632 3514.040437341 3514.040437341 3319.703550830 3319.703550830 3415.479236783
2754066428 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3406.041016808 3428.314564626 3492.522701522 3467.914515493 3586.270701951 3392.040942215 3342.034136510 3468.236187028 3468.236187028 3377.877424352 3377.877424352 3376.634378638
2937670856 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3406.041016808 3394.765711828 3492.522701522 3459.765494718 3585.684753445 3392.040942215 3342.034136510 3463.066559542 3463.066559542 3353.095796495 3353.095796495 3371.230034770
3121275284 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3391.985868394 3394.765711828 3478.868455726 3454.350460999 3583.318714199 3391.665343265 3342.034136510 3446.566011913 3446.566011913 3357.996107150 3357.996107150 3370.934589617
3304879712 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3391.985868394 3394.765711828 3469.527513881 3447.821136732 3578.919552155 3391.665343265 3342.034136510 3444.627692389 3444.627692389 3354.804816150 3354.804816150 3360.195583367
3488484140 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3383.597609411 3388.282505317 3469.527513881 3399.105805048 3524.670446610 3358.368440278 3342.034136510 3435.105422370 3435.105422370 3360.999536846 3360.999536846 3371.642368222
1836044288 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2526.739652165 2599.911836719 2590.023663203 2570.091623018 2602.871954782 2560.878160190 2487.133633309 2563.493728084 2563.493728084 2550.199706235 2550.199706235 2570.941317413
2019648716 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2511.018500230 2593.176288764 2564.973908618 2550.037077622 2602.525350149 2520.333975087 2460.278098430 2522.519771931 2522.519771931 2406.452879261 2406.452879261 2440.760764689
2203253144 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2491.671947543 2584.723428140 2558.429001514 2550.037077622 2599.103349110 2519.988841030 2435.122119466 2524.951406381 2524.951406381 2355.792598222 2355.792598222 2430.249750459
2386857572 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2469.402810634 2562.241091844 2523.759467775 2500.136845737 2596.487189290 2463.800274957 2394.538242351 2466.954183091 2466.954183091 2315.895641304 2315.895641304 2431.852426325
2570462000 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.372339309 2435.377720973 2562.241091844 2513.577228705 2493.144042252 2590.738962875 2463.614090975 2376.807364733 2455.572118447 2455.572118447 2274.523480939 2274.523480939 2383.546588181
