capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
176400 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.145053279 1.147234572 1.149396986 1.145132732 1.147998563 1.144603685 1.147422017 1.147505540 1.143771801 1.143753549 1.143753549 1.143868700 1.143868700 1.143774403  
198450 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.145053279 1.147234572 1.149314280 1.145132732 1.147998563 1.144603685 1.147422017 1.147505540 1.143771801 1.143753549 1.143753549 1.143868700 1.143868700 1.143774403  
242550 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.142805258 1.143406763 1.141871846 1.144425439 1.141413187 1.143422335 1.140657417 1.140951429 1.126882004 1.123298208 1.123298208 1.139175161 1.139175161 1.124188546  
264600 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.139996674 1.131863529 1.124749968 1.142272202 1.130566660 1.141655108 1.129465915 1.129511791 1.128180029 1.120035944 1.120035944 1.117447346 1.117447346 1.117274446  
286650 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.139690679 1.131863529 1.125762434 1.142272202 1.130566660 1.141655108 1.129465915 1.129511791 1.127121316 1.118413141 1.118413141 1.116316465 1.116316465 1.115886484  
308700 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.134330989 1.127565747 1.123644818 1.135294939 1.126241199 1.134623098 1.123720956 1.124202574 1.112192180 1.100852886 1.100852886 1.102747422 1.102747422 1.101466509  
330750 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.086937022 1.083119353 1.086502313 1.092667702 1.088063549 1.090993780 1.085576239 1.085432397 1.064585256 1.051936463 1.051936463 1.059706777 1.059706777 1.053309750  
352800 1.151087900 1.043420869 1.043420869 0.107667031 1.043443937 1.048348387 1.043511957 1.053880215 1.050997357 1.050929244 1.049950476 1.047259561 1.047315371 1.048264850 1.048446160 1.048446160 1.047608282 1.047608282 1.049371517  
176400 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.127469299 1.130318525 1.131291073 1.128500748 1.131707324 1.128184918 1.130988309 1.130889882 1.125928621 1.125933142 1.125933142 1.127063185 1.127063185 1.127121711  
198450 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.127469299 1.130318525 1.132435711 1.128500748 1.131707324 1.128184918 1.130988309 1.130889882 1.125928621 1.125933142 1.125933142 1.127063185 1.127063185 1.127121711  
242550 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.125622060 1.126256788 1.125961702 1.127577511 1.124866263 1.127787487 1.124407397 1.124429976 1.109501413 1.106018951 1.106018951 1.119525011 1.119525011 1.105900013  
264600 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.121927413 1.115619075 1.106327911 1.124501679 1.111333521 1.124647814 1.112543534 1.112339182 1.109026056 1.101506248 1.101506248 1.097958854 1.097958854 1.098371605  
286650 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.121927413 1.115619075 1.106576683 1.124501679 1.111333521 1.124647814 1.112543534 1.112339182 1.108910189 1.101196201 1.101196201 1.097610611 1.097610611 1.098023362  
308700 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.118392679 1.112569065 1.103223726 1.120260968 1.108074680 1.120544811 1.109611998 1.109280658 1.098199653 1.088080693 1.088080693 1.086277927 1.086277927 1.085187028  
330750 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.070807867 1.065935889 1.067763466 1.076756961 1.072095580 1.074751276 1.069546459 1.069020762 1.047517619 1.035630555 1.035630555 1.044424663 1.044424663 1.034991118  
352800 1.134455378 1.028647316 1.028647316 0.105808062 1.028670955 1.032089235 1.028692716 1.037078853 1.033185637 1.033553468 1.032970204 1.031330714 1.031386311 1.032070558 1.032050293 1.032050293 1.031206498 1.031206498 1.032962389  
176400 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.120153758 1.122312400 1.125347622 1.120518357 1.123411924 1.120501484 1.123164557 1.123097358 1.119076159 1.118938809 1.118938809 1.119630568 1.119630568 1.119554583  
198450 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.120153758 1.122312400 1.125025830 1.120518357 1.123411924 1.120501484 1.123164557 1.123097358 1.119076159 1.118938809 1.118938809 1.119630568 1.119630568 1.119554583  
242550 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.118182968 1.119069506 1.119360442 1.119701520 1.118398712 1.119487412 1.118927083 1.119009453 1.103048194 1.097807542 1.097807542 1.114509593 1.114509593 1.098465766  
264600 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.114321856 1.109634820 1.099974464 1.118393433 1.107821864 1.116385049 1.106657582 1.106456632 1.101932346 1.092787934 1.092787934 1.090414353 1.090414353 1.090799081  
286650 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.114222590 1.109634820 1.099474904 1.118009366 1.107821864 1.116089350 1.106657582 1.106456632 1.100683278 1.092072720 1.092072720 1.089202361 1.089202361 1.089382190  
308700 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.109674603 1.103847615 1.096712204 1.111194070 1.103007957 1.109495329 1.100757939 1.100484026 1.087585524 1.076551018 1.076551018 1.076411064 1.076411064 1.073617268  
330750 1.126732839 1.026458489 1.026458489 0.100274350 1.026481176 1.065018725 1.065741835 1.062828635 1.072427843 1.066687285 1.069642449 1.062594342 1.062999442 1.043953794 1.029634075 1.029634075 1.039618869 1.039618869 1.031095292  
