capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
67760 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.921040232 1.930250074 1.925404025 1.930285821 1.926919638 1.926850612 1.908765178 1.907150789 1.907150789 1.912934038 1.912934038 1.912616282
72600 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.914412221 1.921248811 1.915594234 1.920934159 1.916352450 1.916455997 1.896547194 1.893700892 1.893700892 1.903951528 1.903951528 1.897939523
77440 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.903060645 1.904948142 1.898062760 1.905322731 1.898064553 1.898304349 1.891110820 1.888149048 1.888149048 1.889246963 1.889246963 1.888126222
82280 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.855404452 1.859729532 1.851734423 1.859170132 1.851467235 1.851889819 1.766462555 1.750514119 1.750514119 1.764826868 1.764826868 1.752421179
87120 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.715466789 1.716460656 1.709314199 1.715484738 1.706501984 1.707111020 1.656137631 1.641258073 1.641258073 1.640506159 1.640506159 1.647030451
91960 1.960064260 1.627059786 1.627059786 0.333004474	1.627082419 1.649706559 1.648696459 1.647508665 1.648616215 1.641912553 1.641873458 1.641454636 1.640643793 1.640643793 1.635382756 1.635382756 1.641059297
48400 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 2.012956292 2.011027817 2.013023685 2.011133439 2.012937813 2.013031270 1.997600671 1.997929906 1.997929906 1.998204734 1.998204734 1.997974413
53240 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 2.012098181 2.009545381 2.011567182 2.009622696 2.011411814 2.011429595 1.986860214 1.984748513 1.984748513 1.988641039 1.988641039 1.986051271
58080 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 2.011267953 2.008274006 2.010556708 2.008247041 2.010291465 2.010255317 1.985480054 1.982907015 1.982907015 1.987859487 1.987859487 1.984144796
62920 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.994729007 1.995426683 1.995571622 1.994997917 1.995070704 1.995163548 1.969236444 1.965710241 1.965710241 1.974207899 1.974207899 1.968283166
67760 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.975646714 1.985141767 1.980431451 1.984769875 1.979987836 1.979921323 1.963722318 1.961842980 1.961842980 1.963832533 1.963832533 1.959762069
72600 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.968653436 1.977128546 1.971589908 1.976942685 1.970971105 1.971386535 1.952747997 1.949745566 1.949745566 1.951979400 1.951979400 1.947925179
77440 2.014246307 1.707189418 1.707189418 0.307056889	1.707212830 1.958651371 1.963142696 1.956151485 1.962913839 1.956089128 1.956184130 1.947148395 1.944331572 1.944331572 1.939957998 1.939957998 1.941280627
