capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
43560 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.165175233 0.165470087 0.165060499 0.165560980 0.163936083 0.164274160 0.159453339 0.158058342 0.158058342 0.158437870 0.158437870 0.158838858
45980 0.182761528 0.154588617 0.154588617 0.028172911	0.154598819 0.158848296 0.159119851 0.158597371 0.159096709 0.157207588 0.157856597 0.157844006 0.157685956 0.157685956 0.157002732 0.157002732 0.157475242
24200 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.184987978 0.184668754 0.185052305 0.184659608 0.184902644 0.184922282 0.183283804 0.183289581 0.183289581 0.183338238 0.183338238 0.183325010
26620 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.184897799 0.184561435 0.184961014 0.184599478 0.184846425 0.184882263 0.183220416 0.183256951 0.183256951 0.183308991 0.183308991 0.183327965
29040 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.184873194 0.184436275 0.184910286 0.184448319 0.184801905 0.184864951 0.183212148 0.183261419 0.183261419 0.183308991 0.183308991 0.183336445
31460 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.183637746 0.183258493 0.183181878 0.183108741 0.181953745 0.183035723 0.181138724 0.180815718 0.180815718 0.182115178 0.182115178 0.180837795
33880 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.181769668 0.182219163 0.181511231 0.182116973 0.180521269 0.181437066 0.180719743 0.180818656 0.180818656 0.181366599 0.181366599 0.180832451
36300 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.181540143 0.181931004 0.181340314 0.181953457 0.180437660 0.181357470 0.180805476 0.180738033 0.180738033 0.181127474 0.181127474 0.181383904
38720 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.181540143 0.181931004 0.181340314 0.181953457 0.180437660 0.181357470 0.180920123 0.180908924 0.180908924 0.181127474 0.181127474 0.181255577
41140 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.177871187 0.178636257 0.177855932 0.178914427 0.177197948 0.178022397 0.171863093 0.170959284 0.170959284 0.171493571 0.171493571 0.171215178
43560 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.166809982 0.167075392 0.167072913 0.167133356 0.164555530 0.164610049 0.162181264 0.160106856 0.160106856 0.160006010 0.160006010 0.161187359
45980 0.185148311 0.156163830 0.156163830 0.028984481	0.156173959 0.160933244 0.161039512 0.161113758 0.161063279 0.158327040 0.158406782 0.159738538 0.159874609 0.159874609 0.158882013 0.158882013 0.159554449
24200 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.194075980 0.193801059 0.193835353 0.193765102 0.193970324 0.193976849 0.192301998 0.192309152 0.192309152 0.192324078 0.192324078 0.192292996
26620 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.194011756 0.193785914 0.193817652 0.193749957 0.193930991 0.193941268 0.192264649 0.192263813 0.192263813 0.192291834 0.192291834 0.192209418
29040 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.193988657 0.193712826 0.193710652 0.193676869 0.193835760 0.193884934 0.192253223 0.192273153 0.192273153 0.192310159 0.192310159 0.192273873
31460 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.192562331 0.192398573 0.191888218 0.192499041 0.191861144 0.191922348 0.190023242 0.190110027 0.190110027 0.191046971 0.191046971 0.190074486
33880 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.190622142 0.190923452 0.190751409 0.191029694 0.190410564 0.190397710 0.189936989 0.189868595 0.189868595 0.190332490 0.190332490 0.190667731
36300 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.190527489 0.190794004 0.190565173 0.190918266 0.190355018 0.190348278 0.189942645 0.189821609 0.189821609 0.190298840 0.190298840 0.190573595
38720 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.190527489 0.190794004 0.190554743 0.190918266 0.190355018 0.190348278 0.189539074 0.189970613 0.189970613 0.190676180 0.190676180 0.190637813
41140 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.186107628 0.186279495 0.186034233 0.186413809 0.185971590 0.185728331 0.179350852 0.178438941 0.178438941 0.179604519 0.179604519 0.178296864
43560 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.174653688 0.174914645 0.174623295 0.175058186 0.172059390 0.173487349 0.169750704 0.167614570 0.167614570 0.168500649 0.168500649 0.168591097
45980 0.194115906 0.163864262 0.163864262 0.030251644	0.163874524 0.168757941 0.169061657 0.168804680 0.169061100 0.165907960 0.166139062 0.167772658 0.167728563 0.167728563 0.166722732 0.166722732 0.167250712
24200 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.200546104 0.200155407 0.200384718 0.200151628 0.200396463 0.200462463 0.198819543 0.198794098 0.198794098 0.198811321 0.198811321 0.198794371
26620 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.200441839 0.200085014 0.200309511 0.200074747 0.200291210 0.200368423 0.198754342 0.198713402 0.198713402 0.198773039 0.198773039 0.198662513
29040 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.200413733 0.200028394 0.200212928 0.200018127 0.200256246 0.200332758 0.198749224 0.198718845 0.198718845 0.198769786 0.198769786 0.198773094
31460 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.199071140 0.198670346 0.198600070 0.198674072 0.198687979 0.198812383 0.196590318 0.196361456 0.196361456 0.197559960 0.197559960 0.196392152
33880 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.196994319 0.197483006 0.197179238 0.197498046 0.197035786 0.197109891 0.196347796 0.196347400 0.196347400 0.196361185 0.196361185 0.196246895
36300 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.196842111 0.197412550 0.196999807 0.197443670 0.195407639 0.196975183 0.196410137 0.196139803 0.196139803 0.195823868 0.195823868 0.195820211
38720 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.196842111 0.197412550 0.196999807 0.197443670 0.195407639 0.196975183 0.196264660 0.196204833 0.196204833 0.195304741 0.195304741 0.195883955
41140 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.193052027 0.193119814 0.193270339 0.193392959 0.191762044 0.192451484 0.186973811 0.186272509 0.186272509 0.186246758 0.186246758 0.186156662
43560 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.182473747 0.183140570 0.182510692 0.183020768 0.180813197 0.181482760 0.178150509 0.176681761 0.176681761 0.176667427 0.176667427 0.176695496
45980 0.200620531 0.173149578 0.173149578 0.027470953	0.173159985 0.177331788 0.177295197 0.177376769 0.177282583 0.175420946 0.176087782 0.176450429 0.176343918 0.176343918 0.175692521 0.175692521 0.175930882
24200 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.217550568 0.217209702 0.217413583 0.217244950 0.217447938 0.217419469 0.215545817 0.215511929 0.215511929 0.215553240 0.215553240 0.215567193
26620 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.217470059 0.217167875 0.217402669 0.217202756 0.217329751 0.217295487 0.215493824 0.215474327 0.215474327 0.215554419 0.215554419 0.215553212
29040 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.217428232 0.217125404 0.217313225 0.217165390 0.217329751 0.217295487 0.215498796 0.215458221 0.215458221 0.215554419 0.215554419 0.215553212
31460 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.215696203 0.215407699 0.215153076 0.215353663 0.215342249 0.215333362 0.213028344 0.212630660 0.212630660 0.214133208 0.214133208 0.212993912
33880 0.217627463 0.188678735 0.188678735 0.028948728	0.188688931 0.213513522 0.214058002 0.213755749 0.213955420 0.213727600 0.213676991 0.212783202 0.212770224 0.212770224 0.213401772 0.213401772 0.213259525
