optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.463091582 0.774759054 0.777352176 0.774176080 0.774898496 0.771605824 0.769114708 0.740287542 0.720337360 0.720337360 0.758483033 0.758483033 0.737095759
0.463091582 0.760793695 0.764761414 0.747770948 0.764704448 0.753527897 0.753256006 0.737509366 0.715544848 0.715544848 0.745027484 0.745027484 0.740475241
0.463091582 0.755842631 0.759412837 0.740740853 0.758318863 0.746417883 0.746215676 0.728746034 0.708730445 0.708730445 0.743217669 0.743217669 0.737422363
0.463091582 0.747745926 0.750968832 0.730357786 0.748692296 0.735555859 0.735113779 0.724473026 0.704176782 0.704176782 0.739124938 0.739124938 0.733919200
0.463091582 0.714422619 0.719036894 0.703349282 0.717765832 0.704599278 0.704015512 0.653367707 0.609676759 0.609676759 0.649114110 0.649114110 0.640754061
0.463091582 0.610601095 0.615107830 0.604583300 0.611965001 0.595146910 0.595952728 0.568907918 0.555885807 0.555885807 0.551730558 0.551730558 0.576302032
0.463091582 0.565170855 0.569080756 0.565144196 0.565342727 0.546508297 0.546700571 0.556269100 0.553148019 0.553148019 0.545124495 0.545124495 0.564054263
0.447769375 0.791403279 0.795957275 0.804239553 0.791911771 0.797629151 0.797596877 0.779679370 0.778178509 0.778178509 0.780399050 0.780399050 0.782522191
0.447769375 0.789984268 0.793636966 0.800560450 0.790383525 0.794859213 0.794891196 0.770688058 0.769632454 0.769632454 0.770474312 0.770474312 0.775469352
0.447769375 0.788931721 0.792372267 0.797795537 0.789538923 0.792968145 0.793007076 0.769294466 0.767952292 0.767952292 0.769744320 0.769744320 0.774519346
0.447769375 0.775034407 0.778321079 0.773718455 0.777902574 0.771874876 0.773151114 0.741002523 0.722243254 0.722243254 0.749677787 0.749677787 0.743767896
0.447769375 0.761589558 0.766463791 0.748128069 0.767193874 0.751470062 0.749848552 0.738304690 0.719688524 0.719688524 0.741283123 0.741283123 0.741733472
0.447769375 0.756814017 0.759832081 0.739983771 0.760443583 0.741690227 0.741705970 0.730510413 0.711154667 0.711154667 0.746874954 0.746874954 0.739895547
0.447769375 0.748582220 0.750360130 0.729588314 0.750067821 0.730506866 0.730583467 0.727597299 0.705871188 0.705871188 0.745124866 0.745124866 0.736881801
0.447769375 0.714312933 0.717413974 0.699189933 0.716922103 0.698888156 0.699521717 0.652241560 0.611975919 0.611975919 0.653750812 0.653750812 0.642016055
0.447769375 0.615687388 0.619172684 0.609065196 0.615420274 0.595498715 0.596038242 0.572037229 0.561185760 0.561185760 0.556864635 0.556864635 0.577465084
0.447769375 0.571186517 0.574811884 0.571155465 0.569861575 0.555667814 0.555629484 0.561090276 0.558772148 0.558772148 0.550518974 0.550518974 0.568573762
0.470169219 0.785827941 0.788139871 0.797533120 0.784759991 0.789525202 0.789795906 0.773061937 0.771500737 0.771500737 0.774046280 0.774046280 0.775558035
0.470169219 0.784612384 0.786031818 0.793774229 0.782934167 0.785416485 0.786450307 0.764790602 0.763658728 0.763658728 0.765539756 0.765539756 0.768686777
0.470169219 0.783621143 0.785029038 0.791457937 0.781869780 0.783510040 0.784176551 0.762929577 0.762178828 0.762178828 0.763696820 0.763696820 0.767840855
0.470169219 0.770878584 0.773647182 0.767952604 0.770592377 0.765060660 0.765840299 0.732776930 0.713134497 0.713134497 0.757838666 0.757838666 0.731980859
0.470169219 0.755796872 0.761741710 0.740006024 0.760629825 0.743156954 0.743483118 0.730831283 0.711757977 0.711757977 0.737241671 0.737241671 0.731232113
0.470169219 0.750383446 0.755866377 0.731911656 0.754760915 0.736187263 0.736782298 0.723360101 0.701262123 0.701262123 0.732787666 0.732787666 0.728137127
0.470169219 0.742556268 0.746887613 0.722556662 0.744886541 0.725470704 0.726140155 0.718758250 0.698680388 0.698680388 0.729385495 0.729385495 0.728548534
