capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
2983571968 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2699.262765156 2631.160850742 2697.582258618 2751.846189922 2751.957247860 2715.134088358 2733.654706101 2644.133983181 2631.502470462 2717.739139045 2717.739139045 2680.243394607 2680.243394607 2721.965282835  
3213077504 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2699.262765156 2631.160850742 2635.780683998 2717.514407076 2720.415735977 2703.293352067 2733.473528392 2633.976459967 2631.502470462 2722.165691738 2722.165691738 2641.235173638 2641.235173638 2693.814324152  
3442583040 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2673.828662127 2631.160850742 2631.583003808 2717.514407076 2717.644573142 2691.901428947 2733.358854714 2633.976459967 2631.502470462 2722.641398296 2722.641398296 2674.355970190 2674.355970190 2691.835559395  
3672088576 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2661.825872414 2631.160850742 2634.440616677 2717.514407076 2714.623670673 2689.248178264 2733.358854714 2631.903470841 2631.502470462 2719.340313107 2719.340313107 2670.494081228 2670.494081228 2719.304244198  
1836044288 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2030.207360657 1987.146140888 2005.779523905 2035.693773095 2022.701773185 2008.006183704 2027.774441509 1979.758851326 1980.486780880 2017.072989265 2017.072989265 1970.626035437 1970.626035437 2039.796755079  
2065549824 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2028.472708907 1969.704839623 2002.016646030 2035.693773095 2004.977334594 1994.760280439 2027.722109850 1979.758851326 1970.626035437 1999.631688000 1999.631688000 1929.563768416 1929.563768416 1973.586445474  
2524560896 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2027.853386127 1969.704839623 2006.750036185 2032.752684619 2004.657592052 1977.822015201 2027.722109850 1969.898105883 1969.704828353 1999.631688000 1999.631688000 1910.907149598 1910.907149598 1968.740178230  
2754066432 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1939.784611942 1921.548303569 1954.177685676 1921.563954113 1974.180033892 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907152155 1910.907152155 1913.378823720  
2983571968 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1939.784611942 1921.548303569 1938.440326948 1921.563954113 1973.896896566 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907152155 1910.907152155 1912.469796468  
3213077504 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1924.640589620 1921.548303569 1918.117827764 1921.548303569 1973.577154024 1933.613999968 1969.704828353 1933.807266228 1969.704828353 1969.704828353 1969.704828353 1910.907149598 1910.907149598 1912.628094585  
3442583040 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1924.640589620 1910.907149598 1918.522207182 1910.907149598 1972.607452829 1924.275053122 1969.704828353 1911.100415858 1969.704828353 1969.704828353 1969.704828353 1910.907149598 1910.907149598 1910.907149598  
3672088576 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 1911.672204586 1910.907149598 1971.919282230 1910.907149598 1971.029510858 1911.227018101 1969.704828353 1911.100415858 1969.704828353 1969.704828353 1969.704828353 1910.907149598 1910.907149598 1910.907149598  
1836044288 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3609.687214066 3422.376496868 3579.261528527 3651.339643996 3555.700247175 3617.599167695 3610.523813614 3487.354831873 3413.872243506 3535.336936918 3535.336936918 3415.436594067 3415.436594067 3566.482201853  
2065549824 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3524.563738186 3413.122250861 3485.768820617 3648.965690645 3528.594383856 3603.545370358 3596.650293156 3455.277102094 3395.821573286 3487.140458033 3487.140458033 3361.487225690 3361.487225690 3509.013789918  
2524560896 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3462.626675235 3341.799340823 3433.302774735 3635.728119023 3482.714998783 3508.117970324 3519.153225647 3415.995531555 3342.034136510 3472.969069799 3472.969069799 3351.209516346 3351.209516346 3407.025098435  
2754066432 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3406.041016808 3284.054439978 3456.396398460 3517.516735263 3479.675972440 3468.835718079 3455.014864653 3365.533319479 3342.034136510 3462.287512494 3462.287512494 3342.257113921 3342.257113921 3382.444029935  
