optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.339001419 0.377121580 0.375739182 0.375245039 0.377752659 0.375044345 0.374976161 0.363153049 0.359336336 0.359336336 0.359629303 0.359629303 0.360176945
0.339001419 0.361050495 0.361453058 0.361299159 0.360932080 0.357640036 0.357079557 0.358950249 0.358458382 0.358458382 0.358164409 0.358164409 0.359453590
0.346776507 0.453476129 0.458050518 0.459327140 0.453352173 0.453860670 0.453809799 0.449829669 0.448752701 0.448752701 0.449536592 0.449536592 0.450357791
0.346776507 0.453135428 0.456752263 0.458049840 0.452906965 0.453493767 0.453361435 0.446590804 0.446099137 0.446099137 0.446383608 0.446383608 0.447550108
0.346776507 0.452929428 0.455918353 0.456940468 0.452482872 0.453080388 0.452894457 0.446274971 0.444413301 0.444413301 0.445831178 0.445831178 0.447212701
0.346776507 0.448479880 0.449541018 0.449584396 0.448265923 0.448447226 0.448974544 0.440880837 0.423736053 0.423736053 0.434996435 0.434996435 0.440755613
0.346776507 0.443379107 0.441731262 0.440330827 0.444828005 0.444358882 0.443967972 0.439840272 0.426151730 0.426151730 0.445218848 0.445218848 0.444097880
0.346776507 0.441366387 0.439297622 0.437581561 0.442376646 0.441982000 0.441468045 0.438803058 0.417660366 0.417660366 0.443145490 0.443145490 0.443198043
0.346776507 0.438074251 0.435751614 0.433586377 0.438501602 0.438141885 0.437790793 0.435189692 0.415232276 0.415232276 0.444794049 0.444794049 0.443418506
0.346776507 0.425241679 0.424931491 0.422700462 0.426123979 0.426353782 0.425592045 0.404113692 0.386972931 0.386972931 0.404821512 0.404821512 0.404484388
0.346776507 0.384261602 0.382831745 0.382062349 0.384927245 0.380421267 0.380096064 0.369012567 0.365327686 0.365327686 0.365946161 0.365946161 0.367060839
0.346776507 0.366952855 0.367326978 0.366976381 0.366733866 0.362003295 0.361490449 0.364596114 0.364173168 0.364173168 0.363698246 0.363698246 0.365382223
0.364844747 0.467723574 0.472738434 0.473566024 0.467620089 0.469231947 0.469260758 0.463568199 0.462895403 0.462895403 0.463301811 0.463301811 0.464216407
0.364844747 0.467137601 0.471160317 0.472233383 0.467014735 0.468612263 0.468650488 0.459834198 0.458563802 0.458563802 0.459266245 0.459266245 0.460940497
0.364844747 0.466688139 0.470198689 0.471248694 0.466742788 0.468068787 0.468035601 0.459544698 0.457864998 0.457864998 0.458866186 0.458866186 0.460571354
0.364844747 0.460786605 0.462095335 0.462398050 0.462322431 0.462877848 0.462892459 0.452685078 0.438492612 0.438492612 0.434940640 0.434940640 0.452619349
0.364844747 0.455941865 0.454173265 0.452980813 0.458544427 0.458236073 0.457251874 0.453571059 0.438073473 0.438073473 0.458270063 0.458270063 0.456828616
0.364844747 0.453976933 0.451515740 0.449893378 0.455982676 0.455767097 0.454634276 0.449108351 0.435307779 0.435307779 0.457267373 0.457267373 0.456714636
0.364844747 0.450685150 0.447705439 0.445443601 0.451724426 0.451330266 0.450164707 0.451051637 0.430188899 0.430188899 0.457653285 0.457653285 0.456801816
0.364844747 0.437501699 0.434632759 0.432823101 0.438615058 0.439342874 0.437796547 0.418244156 0.396621164 0.396621164 0.418845965 0.418845965 0.417687436
0.364844747 0.399796544 0.398874411 0.397069866 0.400101153 0.398198734 0.397481877 0.384236285 0.380766713 0.380766713 0.381448788 0.381448788 0.382802858
0.364844747 0.383056419 0.383572620 0.383201382 0.383023671 0.379958373 0.379618166 0.380897370 0.380029151 0.380029151 0.379738073 0.379738073 0.380959772
0.336493062 0.444298129 0.448658576 0.450528330 0.443667171 0.445332205 0.445246101 0.439821192 0.439122314 0.439122314 0.439707022 0.439707022 0.440580482
0.336493062 0.443778990 0.447271709 0.449085232 0.442750714 0.444783242 0.444328162 0.436409671 0.434859327 0.434859327 0.435833990 0.435833990 0.437559673
0.336493062 0.443274505 0.446492156 0.448273863 0.442357741 0.444341187 0.443953246 0.436481744 0.434551858 0.434551858 0.435408791 0.435408791 0.437118615
0.336493062 0.437888989 0.439388779 0.439551322 0.438177758 0.439447102 0.439101117 0.429809060 0.412922481 0.412922481 0.408442721 0.408442721 0.427850181
0.336493062 0.431831539 0.431154632 0.428890106 0.434401052 0.434344947 0.433495776 0.429043768 0.415771368 0.415771368 0.434347431 0.434347431 0.433516149
0.336493062 0.429262945 0.428283640 0.425714967 0.432244587 0.431792642 0.431180773 0.424887108 0.408049416 0.408049416 0.431671788 0.431671788 0.432807127
0.336493062 0.425557043 0.424648795 0.421385054 0.427981357 0.426773795 0.426400442 0.421409590 0.405994065 0.405994065 0.433648618 0.433648618 0.433002412
0.336493062 0.413280205 0.412723590 0.409783232 0.414794088 0.414929136 0.414374040 0.394307876 0.375942077 0.375942077 0.394586067 0.394586067 0.393395650
0.336493062 0.374468664 0.373067564 0.371857656 0.375013240 0.372117063 0.370942082 0.359740151 0.355366662 0.355366662 0.356211703 0.356211703 0.357561573
0.336493062 0.357485288 0.357573785 0.357703943 0.357066124 0.353447952 0.352844201 0.355350157 0.354411341 0.354411341 0.353881542 0.353881542 0.355499972
0.345639588 0.452537357 0.457996180 0.459714671 0.452499001 0.454031274 0.454205478 0.448370273 0.447766765 0.447766765 0.448537228 0.448537228 0.449208808
0.345639588 0.451988109 0.456852492 0.458206758 0.451638573 0.453134197 0.453313983 0.445302215 0.444203778 0.444203778 0.444921265 0.444921265 0.446436144
0.345639588 0.451527779 0.455812179 0.457191587 0.451306448 0.452583687 0.452672631 0.444344887 0.443154765 0.443154765 0.444490950 0.444490950 0.445766828
0.345639588 0.446029727 0.447773559 0.447853132 0.446733407 0.448184686 0.447342683 0.437802471 0.422389931 0.422389931 0.417172417 0.417172417 0.440140811
0.345639588 0.441397804 0.439497615 0.437594703 0.443447476 0.443655426 0.442914690 0.436621383 0.422414109 0.422414109 0.443539710 0.443539710 0.442344710
0.345639588 0.439683894 0.437149619 0.434696232 0.440829635 0.441437796 0.440643212 0.437538137 0.418777422 0.418777422 0.443238419 0.443238419 0.441866467
0.345639588 0.436270030 0.434027659 0.430604170 0.436487340 0.437367905 0.436504974 0.435244696 0.415062294 0.415062294 0.442604822 0.442604822 0.441759024
0.345639588 0.423434230 0.421757198 0.418579998 0.423711261 0.424615755 0.423851534 0.402758633 0.381247433 0.381247433 0.402574284 0.402574284 0.401866096
0.345639588 0.383302784 0.381438486 0.380287601 0.382863986 0.380330284 0.380320632 0.367215654 0.363606876 0.363606876 0.363975443 0.363975443 0.364463758
0.345639588 0.365725865 0.366195348 0.366160038 0.365309140 0.361438965 0.360836713 0.362265960 0.363160406 0.363160406 0.362147287 0.362147287 0.363612991
0.338479851 0.444040228 0.448842925 0.450611448 0.443766368 0.445465356 0.444572651 0.439976189 0.438978858 0.438978858 0.440084995 0.440084995 0.440536801
0.338479851 0.443422846 0.447419707 0.449156223 0.442840156 0.444807212 0.443911883 0.436438123 0.435249721 0.435249721 0.436280310 0.436280310 0.437702243
0.338479851 0.442871964 0.446289424 0.447698171 0.442171041 0.444157828 0.443174127 0.436089425 0.434471897 0.434471897 0.435709795 0.435709795 0.437168926
0.338479851 0.437925315 0.439190855 0.438498184 0.438566141 0.439538912 0.438610409 0.427748028 0.416637728 0.416637728 0.421532227 0.421532227 0.430665778
0.338479851 0.433159113 0.431679577 0.428998637 0.435174763 0.435184293 0.433711170 0.428120856 0.415140857 0.415140857 0.434520375 0.434520375 0.429745011
0.338479851 0.430390932 0.428710625 0.425718825 0.432569621 0.432026132 0.430832791 0.426699353 0.408703653 0.408703653 0.433025850 0.433025850 0.429510229
0.338479851 0.427251332 0.425374137 0.421643312 0.428927924 0.427932166 0.426859475 0.429121145 0.407461567 0.407461567 0.433727668 0.433727668 0.428741131
0.338479851 0.414479985 0.413061934 0.410141807 0.416271017 0.415551926 0.414646516 0.394991019 0.373644336 0.373644336 0.394704497 0.394704497 0.391103667
0.338479851 0.373961054 0.373430261 0.372215122 0.375148903 0.372417503 0.370796552 0.359373603 0.355787633 0.355787633 0.356621919 0.356621919 0.355819647
0.338479851 0.357955286 0.358218785 0.358169373 0.357097616 0.354782089 0.353192234 0.355640168 0.355078889 0.355078889 0.354799179 0.354799179 0.355777449
0.337910685 0.446544190 0.451479781 0.453614603 0.446296911 0.448101560 0.447930942 0.442695826 0.441512898 0.441512898 0.442546261 0.442546261 0.443298708
0.337910685 0.446014146 0.450024759 0.452477261 0.445452875 0.447443175 0.447393917 0.438765451 0.438036768 0.438036768 0.438546958 0.438546958 0.440037125
0.337910685 0.445741323 0.449163390 0.451219638 0.445145689 0.446848061 0.446980727 0.438410986 0.436675700 0.436675700 0.438187875 0.438187875 0.439408966
0.337910685 0.440744606 0.441783910 0.441800558 0.441455972 0.441588589 0.440477180 0.432820583 0.416514010 0.416514010 0.423942045 0.423942045 0.431585809
