sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM
1.136688568 1.055918543 1.055918543 0.080770025 1.055943509
1.131672412 1.056609375 1.056609375 0.075063037 1.056632861
1.173678537 1.093241230 1.093241230 0.080437307 1.093265631
1.137007578 1.054587177 1.054587177 0.082420401 1.054613578
1.208267608 1.129778371 1.129778371 0.078489237 1.129802590
1.206662438 1.129989628 1.129989628 0.076672810 1.130012907
1.105728428 1.028386192 1.028386192 0.077342236 1.028409947
1.157182634 1.080581816 1.080581816 0.076600818 1.080605048
1.178302229 1.100104507 1.100104507 0.078197722 1.100126668
1.195642030 1.112326919 1.112326919 0.083315111 1.112352256
1.189936562 1.108016509 1.108016509 0.081920053 1.108041924
1.170874069 1.094654056 1.094654056 0.076220013 1.094677534
1.139446751 1.059518610 1.059518610 0.079928141 1.059543639
1.148344904 1.067695528 1.067695528 0.080649376 1.067718232
1.114581358 1.039607832 1.039607832 0.074973526 1.039630605
1.064109232 0.988573243 0.988573243 0.075535989 0.988599029
1.154329386 1.073159423 1.073159423 0.081169963 1.073182407
1.064695219 0.985199925 0.985199925 0.079495294 0.985223146
1.203957555 1.124257622 1.124257622 0.079699933 1.124282418
1.162825970 1.081110011 1.081110011 0.081715959 1.081134500
1.154000042 1.074285655 1.074285655 0.079714387 1.074308509
1.172753852 1.089368316 1.089368316 0.083385536 1.089392417
1.139433225 1.058790248 1.058790248 0.080642977 1.058813955
1.149576773 1.071174376 1.071174376 0.078402397 1.071196528
1.116706129 1.035086854 1.035086854 0.081619275 1.035110116
1.190136070 1.112146055 1.112146055 0.077990015 1.112167518
1.043092118 0.967620227 0.967620227 0.075471891 0.967643827
1.094022644 1.022432966 1.022432966 0.071589678 1.022456902
1.027930347 0.953917253 0.953917253 0.074013094 0.953943028
1.103697905 1.030072540 1.030072540 0.073625365 1.030095442
1.011813724 0.940988001 0.940988001 0.070825723 0.941012100
0.966956665 0.894230304 0.894230304 0.072726361 0.894256077
0.997154459 0.925005708 0.925005708 0.072148751 0.925030148
0.940452927 0.869347536 0.869347536 0.071105391 0.869373520
1.093263634 1.022663521 1.022663521 0.070600113 1.022685523
1.021475786 0.943450456 0.943450456 0.078025330 0.943474217
1.073755784 1.000712211 1.000712211 0.073043573 1.000735342
1.035586638 0.964094918 0.964094918 0.071491720 0.964117005
1.039194945 0.970865155 0.970865155 0.068329790 0.970888738
1.052848919 0.978683193 0.978683193 0.074165726 0.978705939
1.057629736 0.987109484 0.987109484 0.070520252 0.987133287
1.026818896 0.956242432 0.956242432 0.070576464 0.956264735
1.164417879 1.082275229 1.082275229 0.082142650 1.082300748
1.162559301 1.078819593 1.078819593 0.083739708 1.078844842
1.153984574 1.074238484 1.074238484 0.079746090 1.074260423
1.138586697 1.056170300 1.056170300 0.082416397 1.056194422
1.092391813 1.011198357 1.011198357 0.081193456 1.011222417
1.140344468 1.057608854 1.057608854 0.082735614 1.057630900
1.106539043 1.025350966 1.025350966 0.081188077 1.025376040
1.116184328 1.038937837 1.038937837 0.077246491 1.038961045
1.185345059 1.101077515 1.101077515 0.084267544 1.101102098
1.148405065 1.067050855 1.067050855 0.081354210 1.067074945
1.148971216 1.067601194 1.067601194 0.081370022 1.067624142
