capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
220500 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127469299 1.128335223 1.130270573 1.128021470 1.130738484 1.130712975 1.125964035 1.125564432 1.125564432 1.127501128 1.127501128 1.126304733
242550 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.125622060 1.127433666 1.124201437 1.127143806 1.124290470 1.124405463 1.113577047 1.110814549 1.110814549 1.122694424 1.122694424 1.109341514
264600 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.121927413 1.124208594 1.113411981 1.124377403 1.113176905 1.112573294 1.105421069 1.103860182 1.103860182 1.099569318 1.099569318 1.100977204
286650 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.121927413 1.124045145 1.113411981 1.124213954 1.113176905 1.112573294 1.105401965 1.103574740 1.103574740 1.099243859 1.099243859 1.100651745
308700 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.118392679 1.119836829 1.110803513 1.119850506 1.110692168 1.110202270 1.095884137 1.091254273 1.091254273 1.088697558 1.088697558 1.088302653
330750 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.070807867 1.075486559 1.072696147 1.075079259 1.071327199 1.071472814 1.047748617 1.039265831 1.039265831 1.042650932 1.042650932 1.039659394
176400 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.120153758 1.120108130 1.123069932 1.120148711 1.122739099 1.122917983 1.119529677 1.119167520 1.119167520 1.119882146 1.119882146 1.119524613
198450 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.120153758 1.120108130 1.123069932 1.120148711 1.122739099 1.122917983 1.119529677 1.119167520 1.119167520 1.119882146 1.119882146 1.119524613
220500 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.120153758 1.120021262 1.122643554 1.120061843 1.122667167 1.122732466 1.118529848 1.117584886 1.117584886 1.119179068 1.119179068 1.117953799
242550 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.118182968 1.119272277 1.118978767 1.119276549 1.118599118 1.116849637 1.106128483 1.104141670 1.104141670 1.114743916 1.114743916 1.102419604
264600 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.114321856 1.118246162 1.108178437 1.117204560 1.106228410 1.106768745 1.099929460 1.095597882 1.095597882 1.091476383 1.091476383 1.091495384
286650 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.114222590 1.117718694 1.108085291 1.116677092 1.106050033 1.106460771 1.098990125 1.094488943 1.094488943 1.090146737 1.090146737 1.090165738
308700 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.109674603 1.111037594 1.102728248 1.109969667 1.101703165 1.102654402 1.088146047 1.081208066 1.081208066 1.076379333 1.076379333 1.075775495
330750 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.065018725 1.071834698 1.067485433 1.070812262 1.065924241 1.065560541 1.044705277 1.035094013 1.035094013 1.038447894 1.038447894 1.033645806
176400 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.127547979 1.127745863 1.130369057 1.127500742 1.130064649 1.129985415 1.126421474 1.126501425 1.126501425 1.127075762 1.127075762 1.126821050
198450 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.127547979 1.127745863 1.130369057 1.127500742 1.130064649 1.129985415 1.126421474 1.126501425 1.126501425 1.127075762 1.127075762 1.126821050
220500 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.127547979 1.127652350 1.130002183 1.127407229 1.129791137 1.129655427 1.124738078 1.124323915 1.124323915 1.125279350 1.125279350 1.124881618
242550 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.126389486 1.126162909 1.124097847 1.126465634 1.124857669 1.124817364 1.112818979 1.109556269 1.109556269 1.119755852 1.119755852 1.107654856
264600 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.122569517 1.124068688 1.114262596 1.124355411 1.113864202 1.114004885 1.109572876 1.105159784 1.105159784 1.100405532 1.100405532 1.101786862
286650 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.122569517 1.124068688 1.114262596 1.124355411 1.113770689 1.113829892 1.108453022 1.104005708 1.104005708 1.099476152 1.099476152 1.100524554
308700 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.116024273 1.117268951 1.109726890 1.117247416 1.109163241 1.109103374 1.095822839 1.089875093 1.089875093 1.086382746 1.086382746 1.085679200
330750 1.133317651 1.038303146 1.038303146 0.095014505	1.038326194 1.073124333 1.076993694 1.073520290 1.076705247 1.071033197 1.071578323 1.052761285 1.045038851 1.045038851 1.047544125 1.047544125 1.043954725
176400 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144597198 1.144504514 1.147679785 1.144389992 1.146637266 1.146951033 1.143943744 1.143621058 1.143621058 1.144153608 1.144153608 1.143732397
198450 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144597198 1.144504514 1.147679785 1.144389992 1.146637266 1.146951033 1.143943744 1.143621058 1.143621058 1.144153608 1.144153608 1.143732397
220500 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.144492051 1.144407601 1.147441495 1.144259635 1.146619459 1.146908583 1.142578457 1.142541551 1.142541551 1.143600069 1.143600069 1.142106695
242550 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.142951094 1.143049297 1.141296252 1.143472047 1.141459378 1.141671555 1.129623016 1.128175053 1.128175053 1.136182226 1.136182226 1.126894821
264600 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.139453334 1.142044463 1.130268307 1.140723105 1.131647956 1.131077055 1.126391042 1.121496648 1.121496648 1.117581186 1.117581186 1.119063641
286650 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.139111566 1.141893040 1.130268307 1.140571682 1.131647956 1.131058849 1.125511336 1.120674355 1.120674355 1.116468855 1.116468855 1.117831556
308700 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.132098500 1.132198159 1.125771684 1.130776463 1.125575595 1.125435562 1.112246312 1.103304400 1.103304400 1.100965283 1.100965283 1.100784131
330750 1.151070061 1.045196609 1.045196609 0.105873452	1.045254968 1.087923067 1.094080396 1.089916912 1.091780837 1.088078714 1.088323398 1.065857890 1.057367547 1.057367547 1.061230759 1.061230759 1.056752155
176400 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073747318 1.073750231 1.076296866 1.073449865 1.075773048 1.074685674 1.072832918 1.072692685 1.072692685 1.073013992 1.073013992 1.072490874
198450 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073747318 1.073750231 1.076296866 1.073449865 1.075773048 1.074685674 1.072832918 1.072692685 1.072692685 1.073013992 1.073013992 1.072490874
220500 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.073704736 1.073750231 1.076217639 1.073449865 1.075773048 1.074638795 1.071603784 1.071823291 1.071823291 1.072689971 1.072689971 1.070888970
242550 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.071975908 1.072799680 1.071740258 1.073080890 1.070825231 1.069944331 1.060572088 1.058379057 1.058379057 1.067936571 1.067936571 1.056832844
264600 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.068311733 1.070562570 1.060326047 1.069325941 1.058870223 1.058948099 1.054818316 1.049221341 1.049221341 1.046608316 1.046608316 1.046797467
286650 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.068311733 1.070152137 1.060326047 1.069071257 1.058870223 1.058948099 1.053731435 1.048245388 1.048245388 1.045092716 1.045092716 1.045266704
308700 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.063807280 1.064553420 1.056034073 1.062784786 1.055307934 1.055376400 1.043642241 1.034923509 1.034923509 1.032914172 1.032914172 1.033180982
330750 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.021777175 1.028409209 1.017694619 1.026569224 1.019150516 1.018506752 0.997485261 0.986526402 0.986526402 0.991735722 0.991735722 0.987141473
176400 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.117201281 1.117579239 1.120614674 1.117361170 1.119887966 1.120175223 1.116285466 1.116049399 1.116049399 1.115856553 1.115856553 1.116246211
198450 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.117201281 1.117579239 1.120614674 1.117361170 1.119887966 1.120175223 1.116285466 1.116049399 1.116049399 1.115856553 1.115856553 1.116246211
220500 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.117064411 1.117477642 1.119709112 1.117259573 1.119761457 1.120008862 1.114634575 1.114087263 1.114087263 1.115404579 1.115404579 1.113848792
242550 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.114821894 1.116040362 1.114039577 1.115924108 1.113786085 1.114506115 1.102106595 1.099483084 1.099483084 1.108228252 1.108228252 1.098296633
264600 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.111379730 1.114623052 1.103096843 1.114280344 1.103346736 1.102733036 1.098231366 1.093392638 1.093392638 1.088562333 1.088562333 1.090264297
286650 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.111379730 1.114623052 1.103096843 1.114280344 1.103346736 1.102733036 1.097640521 1.093015540 1.093015540 1.088233040 1.088233040 1.089386635
308700 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.105024855 1.107638823 1.097809763 1.107561287 1.097779827 1.097133956 1.083091775 1.077017019 1.077017019 1.074921410 1.074921410 1.073845508
