capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1700 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.194556290 3314.142869281 3093.152124073 2993.105980694 3109.174633773 3058.618493851 3079.493487684 2855.646984003 2864.315490649 2864.315490649 2904.829213620 2904.829213620 3113.566564666
899 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2795.755528484 2688.584939241 2646.113504999 2706.336632427 2680.134639770 2664.754631054 2494.802583959 2676.449685939 2676.449685939 2453.113874787 2453.113874787 2587.149804094
988 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2787.338623071 2583.681337030 2624.537029978 2615.873231211 2570.464830558 2614.596419159 2497.540222873 2656.238515834 2656.238515834 2307.563453885 2307.563453885 2425.411712351
1077 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2756.506667089 2557.667002803 2604.919529394 2565.853077680 2532.446156796 2583.870160859 2432.108937034 2683.325097226 2683.325097226 2261.643777425 2261.643777425 2554.478234763
1166 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2725.578558795 2553.323496373 2580.346090953 2551.332450970 2530.189122426 2549.323925087 2371.592047473 2608.032789671 2608.032789671 2252.014659265 2252.014659265 2533.581205640
1255 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2703.911783242 2497.713625153 2495.921527357 2496.733216497 2489.071239139 2515.138479608 2304.755281584 2547.914085800 2547.914085800 2256.506860272 2256.506860272 2478.274045716
1344 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2667.721835545 2420.412208136 2451.316067464 2458.891582533 2396.344284536 2395.500472415 2276.090139420 2359.374936763 2359.374936763 2217.212632439 2217.212632439 2450.134501902
1433 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2651.970374985 2412.650147358 2395.793996377 2396.846044420 2359.662935043 2352.820986560 2191.728331920 2219.327777319 2219.327777319 2269.535017007 2269.535017007 2446.848916838
1522 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2624.687170957 2397.823085048 2352.180910445 2395.743741223 2352.869830680 2351.818663014 2097.466151387 2203.647185315 2203.647185315 2227.019889798 2227.019889798 2420.407528250
1611 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2594.656687733 2355.264727403 2327.997931543 2389.095476397 2341.327423444 2340.140500962 2170.726771611 2259.551488101 2259.551488101 2182.895260221 2182.895260221 2395.725984278
1700 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027040503 2563.940832685 2354.898782739 2265.635218070 2388.549318702 2327.870068669 2339.915348446 2068.280503553 2218.229550205 2218.229550205 2195.311506291 2195.311506291 2399.148300453
899 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3379.563678910 3242.165076766 3230.896843514 3268.816452143 3225.655173523 3237.416857172 3209.890006442 3210.959773949 3210.959773949 3125.416737530 3125.416737530 3119.407604135
988 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3308.893705480 3207.142630948 3206.645953628 3209.653602549 3174.836776334 3190.880735077 3146.686772280 3201.192888400 3201.192888400 2985.642349264 2985.642349264 3077.447435972
1077 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3299.239979598 3179.324556878 3180.520552747 3140.988274946 3088.292219212 3069.511035159 3034.650216573 3124.083895317 3124.083895317 2769.396098645 2769.396098645 3077.110261421
1166 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160850742 3274.186135443 3134.601072058 3159.950389319 3090.480036116 3054.798982760 3037.899425824 3055.323283918 2971.442857433 2971.442857433 2765.674752320 2765.674752320 3038.644033262
