#Capacity Gilmore_Gomory_makespan
1077 1346.237011684
1166 1339.452056178
1255 1308.246814266
1344 1301.248506897
1433 1181.219030406
1522 1150.478960105
1611 1150.168395810
1700 1118.978497136
899 1289.922549797
988 1258.577996390
1077 1251.210113461
1166 1244.619212938
1255 1226.311480386
1344 1219.707915921
1433 1208.017366541
1522 1207.315246323
1611 1196.573452816
1700 1166.200848668
899 1661.443732023
988 1574.862643712
1077 1507.991846827
1166 1495.464002506
1255 1431.570089024
1344 1425.840030881
1433 1424.653029455
1522 1393.772482662
1611 1352.828512767
1700 1352.322352988
899 1749.226183493
988 1649.676284895
1077 1626.066296439
1166 1493.428157148
1255 1492.680203253
1344 1419.222284440
1433 1413.654114660
1522 1408.601194301
1611 1387.265850941
1700 1380.739726700
899 1568.785833246
988 1509.979702961
1077 1433.447955700
1166 1431.119429490
1255 1427.556294526
1344 1390.838623551
1433 1379.735883178
1522 1319.045054572
1611 1318.702136258
1700 1317.784917008
899 1491.726762835
988 1425.571059308
1077 1424.240408761
1166 1423.054693250
1255 1390.633445852
1344 1360.475642646
1433 1329.725318680
1522 1323.444063671
1611 1292.752027512
1700 1287.159754260
899 1963.894517654
988 1837.854627912
1077 1798.484380534
1166 1724.191319773
1255 1627.319034366
1344 1539.010145497
1433 1538.030654856
1522 1530.727937674
1611 1523.982845394
1700 1523.708506887
899 1966.230153510
988 1929.651623240
1077 1928.172955736
1166 1839.222225429
1255 1660.545961370
1344 1556.154233909
1433 1556.150973437
1522 1545.424591095
1611 1534.605969277
1700 1487.317253758
899 1414.634922298
988 1384.010094524
1077 1378.155991590
1166 1318.532101143
1255 1210.386367329
1344 1204.243680590
1433 1202.020720446
1522 1159.319673127
1611 1153.556260548
1700 1122.680598747
899 1188.960071408
988 1177.767483812
1077 1171.528376228
1166 1022.094258763
1255 1015.338600767
1344 1008.995377866
1433 1008.497939247
1522 1002.400607669
1611 1001.462473037
1700 1001.462398727
899 1243.284543980
988 1241.433471964
1077 1241.175537593
1166 1185.765234153
1255 1179.191962032
1344 1167.912016077
1433 1107.321946632
1522 1106.940797427
1611 1075.938361229
1700 1070.589501142
899 1060.342718257
988 1053.171075320
1077 1047.318726527
1166 1038.591691619
1255 1032.958397458
1344 1001.566517406
1433 1001.266984942
1522 935.550993414
1611 930.322322460
1700 930.317858133
899 1292.083590268
988 1291.379516193
1077 1237.004009697
1166 1195.765086557
1255 1193.928980053
1344 1122.839672908
1433 1116.678773200
1522 1116.362363114
1611 1114.787884207
1700 1113.867275473
899 1357.036291981
988 1320.872268555
1077 1319.385682230
1166 1312.398973034
1255 1311.340930978
1344 1308.497346202
1433 1181.940494263
1522 1175.117711615
1611 1173.588105454
1700 1173.306590746
899 975.009303552
988 913.007589256
1077 907.507308153
1166 900.671842525
1255 900.065494135
1344 887.619068739
1433 879.741936255
1522 873.364261215
1611 873.054782220
1700 873.053321122
899 1037.213082949
988 1026.043616551
1077 968.014075947
1166 967.144632090
1255 903.884245405
1344 890.790764143
1433 779.577543651
1522 748.235314687
1611 748.233437854
1700 748.233075542
899 560.444012437
988 560.271778336
1077 500.993022372
1166 474.759856057
1255 474.065561042
1344 444.131590545
1433 444.130793168
1522 444.130142242
1611 431.203738721
1700 431.203513016
899 1018.077674193
988 980.257703605
1077 944.611738351
1166 915.795567468
1255 915.447664329
1344 891.457508846
1433 839.741393898
1522 839.740488611
1611 839.740017120
1700 838.041090559
899 695.794722642
988 664.854595744
1077 659.610787155
1166 557.375844015
1255 551.041806489
1344 550.887462512
1433 494.903587642
1522 494.903172680
1611 494.902972461
1700 494.744440873
899 1031.175833348
988 1029.139358750
1077 1016.003288827
1166 997.485856828
1255 809.133250518
1344 732.614748857
1433 732.614632174
1522 732.613253247
1611 702.928272016
1700 699.647351914
