capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
1459 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2629.601880426 2215.111566100 2397.937241123 2390.434492924 2395.962853786 2353.919308141 2352.209446684 2126.095686594 2236.179886126 2236.179886126 2212.724764358 2212.724764358 2453.340160950  
1571 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2594.889014799 2158.381626665 2366.788723129 2334.338787746 2395.200982679 2352.247276383 2351.170410749 2142.303189272 2197.126928361 2197.126928361 2219.615093525 2219.615093525 2428.635423666  
1683 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2567.237491599 2151.036587356 2355.039514304 2270.375606909 2388.690090430 2327.909318484 2340.110759611 2165.136378196 2229.311380138 2229.311380138 2157.731651751 2157.731651751 2426.345080242  
1795 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2547.388138340 2150.591216759 2354.898472000 2262.070216020 2382.352940036 2326.353724347 2299.499330293 2090.433347305 2197.026917300 2197.026917300 2174.359514963 2174.359514963 2406.438449107  
899 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3379.563678910 3216.517908026 3242.165076766 3230.896843514 3268.816452143 3225.655173523 3237.416857172 3209.890006442 3210.959773949 3210.959773949 3125.416737530 3125.416737530 3119.407604135  
1011 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3308.405521870 3091.642402459 3193.045658036 3201.115134973 3204.278024319 3144.079409059 3136.452860977 3114.393211578 3205.066697110 3205.066697110 2859.879558940 2859.879558940 3042.675009262  
1235 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3216.496875915 2929.556054461 3032.510382532 3093.631771215 3024.732279810 2992.746893235 2977.408531142 2948.934470251 2883.741935982 2883.741935982 2725.924231118 2725.924231118 2903.903793609  
1347 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3186.236916520 2833.777622929 2950.771040366 2981.174535975 2991.162085841 2943.375839792 2882.680599184 2688.653467584 2746.972420048 2746.972420048 2735.235459700 2735.235459700 2959.227584685  
1459 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3137.815311992 2737.243127407 2866.547311977 2939.187953053 2866.102071031 2852.720406361 2822.028006055 2635.241491272 2756.626860922 2756.626860922 2707.957129212 2707.957129212 2872.303934711  
1571 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3126.921154577 2720.445935706 2840.329903555 2877.815834187 2849.236152411 2814.276277698 2795.519675550 2649.041494996 2724.132497747 2724.132497747 2660.958873664 2660.958873664 2872.779966498  
1683 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3025.737617646 2669.440593163 2803.340418200 2840.947897989 2827.789830398 2764.941852733 2724.128622817 2633.316677039 2731.284205785 2731.284205785 2665.234974145 2665.234974145 2808.634173621  
1795 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2987.067113466 2663.940187051 2791.464919443 2824.083924617 2790.063118397 2757.220219067 2698.992299917 2632.100321222 2741.036447923 2741.036447923 2686.601425819 2686.601425819 2813.539251951  
899 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2111.011438484 2070.361613908 2051.472489829 2082.545818457 2089.008789816 2083.129655118 2069.237514235 2075.289080488 2124.955330437 2124.955330437 2091.997058633 2091.997058633 2048.032745498  
1011 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2100.571221381 2034.016958623 2044.593619085 2067.083200091 2081.424467165 2044.862666619 2050.240818478 2043.990133834 2138.611580163 2138.611580163 1956.888045146 1956.888045146 2048.539889671  
1235 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2048.113070973 2009.356500163 1967.468961313 2007.272774420 2022.944629927 1992.098917076 1966.325471100 2057.066722352 2008.506856813 2008.506856813 1926.042955942 1926.042955942 1988.870141655  
1347 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2037.254570703 1960.069390023 1964.711076792 1991.865390036 2008.503652123 1989.362202388 1964.002265988 1984.858810106 1976.474456916 1976.474456916 1919.704244299 1919.704244299 1984.929786412  
1459 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2034.366983641 1918.636503444 1956.918920974 1989.478779374 1992.725443409 1988.046221120 1948.922530600 1974.805251275 1986.134806787 1986.134806787 1915.888927625 1915.888927625 1969.303680626  
1571 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2023.238000337 1912.108882928 1941.762139534 1981.671007648 1980.319722098 1970.238909433 1931.412386250 1972.749094773 1976.499369822 1976.499369822 1913.826182489 1913.826182489 1934.503443217  
1683 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2017.648220834 1910.919209445 1940.200768887 1976.143359347 1974.608658130 1970.238048562 1931.400408209 1971.267479826 1976.570524752 1976.570524752 1914.068500271 1914.068500271 1928.631939780  
1795 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2016.869580258 1910.919051302 1939.736218497 1975.759837775 1974.161093668 1969.855632919 1931.015564473 1972.909776392 1975.321140514 1975.321140514 1913.844950651 1913.844950651 1921.113388055  
899 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 4134.928867962 3976.467289785 4065.845176438 4081.618683357 4040.884296571 4106.479912701 3997.437744403 3770.739586547 4018.856752987 4018.856752987 3702.743476420 3702.743476420 3858.648500303  
1011 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3972.265857269 3796.694285441 3926.550960767 3935.549329203 3873.629954773 3935.888006498 3769.377972772 3773.226662276 4062.512614348 4062.512614348 3436.620003198 3436.620003198 3717.769715632  
1235 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3817.801066791 3631.908961117 3820.087269496 3794.493608837 3780.777710824 3729.729833191 3682.679700804 3551.313575341 3742.955835029 3742.955835029 3368.779757329 3368.779757329 3643.276822391  
1347 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3760.299938893 3480.308413337 3727.203963104 3741.908323777 3678.801586008 3693.344991791 3640.813315544 3395.688376659 3539.124770713 3539.124770713 3361.868084655 3361.868084655 3610.365334667  
1459 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3682.283088693 3385.819913464 3559.419030866 3634.264939421 3610.692788730 3492.473395322 3480.021119974 3344.682706611 3505.417765848 3505.417765848 3331.426687266 3331.426687266 3558.246096348  
1571 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3628.170945809 3328.379519661 3530.018262293 3582.391280836 3556.339011115 3467.075775672 3459.261987124 3343.481981754 3491.328253545 3491.328253545 3329.588162592 3329.588162592 3512.865880551  
1683 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3588.909153268 3283.901252033 3529.341005608 3536.132471957 3552.828843392 3446.566159394 3424.860585346 3343.785277972 3497.238059855 3497.238059855 3339.355506015 3339.355506015 3508.343100368  
1795 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3556.152069946 3281.296746796 3498.696874120 3505.293405477 3552.673940151 3426.401961024 3420.632263543 3343.167527953 3488.294356100 3488.294356100 3367.180338050 3367.180338050 3466.829143660  
899 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2887.117588722 2723.327530480 2672.783573970 2686.319700484 2806.094950834 2648.155722602 2658.416980124 2570.986126890 2876.600382478 2876.600382478 2562.203289453 2562.203289453 2668.738857351  
1011 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2857.909146664 2637.066806463 2657.495786547 2651.721927226 2685.461365607 2628.290407992 2599.034891646 2555.941232824 2853.116379800 2853.116379800 2428.203564654 2428.203564654 2576.245007270  
1235 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2713.145913710 2476.069562780 2611.854708940 2541.009694474 2542.453498944 2554.192606818 2517.425893952 2495.871984774 2572.888265425 2572.888265425 2313.586385954 2313.586385954 2573.366946732  
1347 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2708.680070833 2382.948160404 2550.842051642 2517.773923762 2523.646376130 2494.788790239 2430.508076158 2318.989282148 2421.411352409 2421.411352409 2310.758503469 2310.758503469 2544.519645732  
1459 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2612.155943242 2369.491215812 2548.477640418 2434.351444287 2520.280747519 2467.368045542 2412.581323761 2274.026774525 2404.177690270 2404.177690270 2330.795770502 2330.795770502 2531.320678321  
1571 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2591.807435553 2337.130955507 2494.962568107 2408.750052301 2455.500952980 2439.609928367 2406.276892670 2253.291677533 2408.296503476 2408.296503476 2325.462945575 2325.462945575 2513.740695642  
1683 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2561.822403405 2317.176524538 2433.712080815 2336.561804432 2455.035938484 2373.287116793 2357.329235792 2252.730267998 2347.831311083 2347.831311083 2347.531777549 2347.531777549 2472.671734559  
1795 3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423 2536.001051124 2316.786784555 2419.780751105 2336.375685801 2410.379110681 2373.286833581 2341.011105974 2253.168168954 2323.045981331 2323.045981331 2300.829227621 2300.829227621 2459.522553421  
899 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2844.998814832 2738.732008764 2771.163614949 2821.849640460 2768.565215602 2771.704565868 2727.191700880 2687.920890947 2843.926960196 2843.926960196 2660.440009175 2660.440009175 2781.850495573  
1011 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2803.957947311 2629.611587484 2749.705481771 2731.307004906 2720.433519493 2752.009341028 2691.567630303 2689.452762509 2837.943207656 2837.943207656 2603.609304385 2603.609304385 2723.466186089  
1235 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2745.515429273 2568.735649301 2679.403192012 2639.896440559 2657.826311558 2651.166725274 2619.975282682 2565.317764381 2704.322511984 2704.322511984 2539.716175450 2539.716175450 2699.282259352  
1347 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2742.378699807 2544.705330245 2658.877094104 2634.650357629 2653.141441774 2647.781409720 2604.741757814 2534.952931093 2653.457839894 2653.457839894 2563.491063943 2563.491063943 2695.038129754  
1459 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2701.894077736 2541.423023204 2652.094823493 2600.119728955 2642.974058442 2640.056536407 2602.050203832 2530.582762497 2674.985033041 2674.985033041 2523.397361760 2523.397361760 2631.404460440  
1571 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2688.270359312 2500.802920248 2577.672002855 2597.165358596 2627.171625996 2569.486858754 2521.247799960 2504.459289431 2620.244605689 2620.244605689 2540.342012514 2540.342012514 2620.146016293  
1683 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2673.925021064 2487.153636554 2575.007895145 2592.230232833 2625.717815962 2568.416703184 2520.228117522 2502.978728070 2585.005263517 2585.005263517 2537.251680159 2537.251680159 2613.084565038  
1795 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2659.619273754 2487.153467975 2560.465509155 2582.702363765 2612.750319848 2555.539774420 2513.801814639 2504.128217861 2597.652117607 2597.652117607 2525.289906041 2525.289906041 2566.299782835  
899 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3289.071453009 3117.847046673 3175.321022989 3149.675727044 3229.305773505 3121.311279601 3182.743396183 3085.742114735 3285.206650613 3285.206650613 3078.883222675 3078.883222675 3184.474084009  
1011 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3235.894167726 3033.168705161 3115.194853600 3128.655019820 3126.852600888 3095.420396905 3126.061104592 3071.060334503 3315.639200124 3315.639200124 2952.998545912 2952.998545912 3096.722039011  
1235 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3130.428725039 2930.629073103 3059.168892735 2974.949599324 3080.708037493 3036.219918687 2926.478983933 2913.432970952 3052.627471440 3052.627471440 2915.307553281 2915.307553281 3060.910955765  
1347 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3121.639660459 2917.083408603 3047.772604936 2962.953641220 3061.397796802 3034.682717724 2903.986585069 2789.251115990 2923.514610173 2923.514610173 2879.386138280 2879.386138280 3030.300929850  
1459 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3098.215850770 2803.166306180 3019.268754914 2905.093013506 3048.948450061 3016.732239124 2886.028790087 2779.756920095 2873.699748061 2873.699748061 2839.384469942 2839.384469942 2997.889132391  
1571 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3078.665013237 2800.422414515 2961.098957083 2902.974670422 3020.593029337 2974.745641874 2857.553993861 2775.448780306 2872.480660686 2872.480660686 2804.423324702 2804.423324702 2998.779999042  
1683 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2998.108019399 2785.043430110 2946.702519802 2876.459825945 2969.787958974 2919.948085608 2825.081241926 2774.852166925 2875.732741328 2875.732741328 2789.574820376 2789.574820376 2965.657469703  
1795 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2970.529007795 2780.170207361 2946.302606563 2876.108662612 2968.062954589 2919.752929159 2793.700953561 2774.910420731 2872.306836182 2872.306836182 2807.547386371 2807.547386371 2965.827524634  
899 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2884.035926162 2798.830019663 2833.992853736 2858.732208318 2835.489876857 2783.731530705 2785.527858597 2791.642294112 2858.457446449 2858.457446449 2771.265531919 2771.265531919 2768.268913680  
1011 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2867.798418411 2766.336236172 2793.245509645 2816.705174105 2804.764048494 2762.051665125 2742.197324463 2793.419345047 2871.937652443 2871.937652443 2687.391674281 2687.391674281 2745.735097492  
1235 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2770.275093138 2692.410240046 2692.112308150 2730.455878837 2768.620878537 2736.744760215 2705.547882904 2692.580211864 2727.620522908 2727.620522908 2639.429414828 2639.429414828 2721.348476463  
1347 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2721.320946718 2671.815425265 2687.507245732 2708.525772715 2727.308237603 2721.259605446 2691.298167117 2649.738187334 2695.178925334 2695.178925334 2632.113537350 2632.113537350 2719.302801681  
1459 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2713.971484583 2646.786113110 2669.066277963 2690.401779891 2703.814182365 2719.001973922 2659.265824903 2643.468797813 2689.057259105 2689.057259105 2616.089740208 2616.089740208 2704.413089106  
1571 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2705.955398959 2609.040272679 2657.593650937 2681.042618672 2694.804798795 2676.141698507 2627.819309871 2641.165846066 2677.303173714 2677.303173714 2620.157041663 2620.157041663 2660.879461335  
1683 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2690.227061541 2607.741308015 2644.922132792 2669.707713680 2682.427058776 2659.079986973 2615.940491208 2641.838517157 2692.177985218 2692.177985218 2608.948812489 2608.948812489 2647.317392690  
1795 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2682.861513020 2607.724805403 2639.481096777 2669.707604283 2651.531770363 2658.262261384 2610.384251686 2641.387005020 2670.757903972 2670.757903972 2630.849828546 2630.849828546 2661.270214627  
899 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3706.462894956 3553.906769880 3559.242072745 3617.419789503 3619.731858867 3638.762089940 3616.956312296 3416.372950025 3636.565979621 3636.565979621 3367.315044296 3367.315044296 3473.262803507  
1011 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3663.226449705 3454.349120644 3522.265171702 3598.878607380 3564.488094423 3592.883640019 3575.544153376 3400.970161114 3608.833849060 3608.833849060 3167.538325128 3167.538325128 3435.014216574  
1235 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3546.166998489 3266.815811834 3306.540545223 3397.988473960 3429.526622021 3300.631150426 3344.444371502 3304.151260682 3236.503396149 3236.503396149 3066.401442798 3066.401442798 3274.395084753  
1347 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3446.488985845 3164.907558125 3293.379817348 3297.199442111 3390.709591299 3257.394148016 3233.317796669 3104.620207294 3106.578759819 3106.578759819 3057.002576412 3057.002576412 3268.617154263  
1459 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3407.811192513 3079.420626828 3225.117488291 3255.446028016 3258.416735401 3250.454177936 3221.387530540 2980.207238837 3116.441954197 3116.441954197 3035.487377938 3035.487377938 3243.001319789  
1571 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3380.808609709 3073.188010454 3147.846107711 3211.623976553 3213.861316930 3171.837142253 3150.721560292 3016.945176579 3038.060936256 3038.060936256 3048.918931265 3048.918931265 3167.902925763  
1683 3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884 3369.575669004 3038.297276760 3104.568049141 3166.009320836 3193.771180169 3122.549757766 3136.565664043 3006.821520214 3069.298456404 3069.298456404 3047.893194187 3047.893194187 3136.989660422  
