capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
2983571968 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2230.805979768 2249.663987371 2169.703226952 2304.741952923 2377.151306765 2159.785347800 2121.777390546 2185.763180378 2185.763180378 2119.727778482 2119.727778482 2219.419652143
3213077504 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2184.308916981 2222.754052411 2163.017866659 2293.145326383 2376.402203355 2141.907616452 2092.285570821 2173.193517424 2173.193517424 2109.251791060 2109.251791060 2194.782716695
3442583040 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2151.821699368 2209.886993984 2162.157493477 2281.160854537 2376.051723661 2127.021356029 2092.043922415 2174.991663732 2174.991663732 2100.533473745 2100.533473745 2191.842110786
3672088576 2883.059719115 2064.027029594 2064.027029594 819.032689521	2064.027060814 2141.790874335 2190.297694255 2155.406251972 2269.545948198 2375.678784540 2112.348407183 2084.691567614 2168.530735331 2168.530735331 2102.513110837 2102.513110837 2185.214211519
1836044288 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2842.198619570 2761.592424749 2825.595123293 2769.526282493 2814.029314126 2757.495596873 2709.732646661 2818.909244692 2818.909244692 2734.816111812 2734.816111812 2743.371886949
2065549824 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2798.900114406 2755.175620469 2820.531747771 2748.268304243 2813.830467175 2732.122503420 2690.290520797 2801.088454262 2801.088454262 2715.765461619 2715.765461619 2738.242931013
2295055360 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2754.360337501 2732.847646779 2810.513190598 2728.824778500 2813.500655854 2732.122503420 2690.290520797 2788.564195783 2788.564195783 2712.420119949 2712.420119949 2725.709688033
2524560896 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2701.481469516 2726.498354414 2747.640049390 2699.777070886 2784.815330074 2694.705164835 2690.290520797 2744.386137871 2744.386137871 2693.514159179 2693.514159179 2714.468317507
2754066432 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2699.726057890 2676.396347923 2747.277379670 2686.291098719 2784.632655782 2662.096130128 2690.826626052 2737.392616978 2737.392616978 2680.040579917 2680.040579917 2683.137811226
2983571968 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2699.262765156 2676.328106239 2741.731883501 2686.291098719 2784.632655782 2662.096130128 2690.290520797 2733.046377092 2733.046377092 2658.238795064 2658.238795064 2675.987023482
3213077504 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2699.262765156 2663.414032554 2741.222279152 2672.802311514 2784.632655782 2637.421475236 2690.290520797 2722.593024758 2722.593024758 2659.264051625 2659.264051625 2662.781819715
3442583040 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2673.828662127 2663.414032554 2731.261711180 2672.802311514 2783.697858268 2637.421475236 2690.290520797 2728.598657584 2728.598657584 2645.324721379 2645.324721379 2663.072949797
3672088576 3401.169982585 2631.160838986 2631.160838986 770.009143599	2631.160901283 2661.825872414 2650.485564855 2725.558249570 2662.807578305 2777.421973266 2631.455081117 2690.290520797 2716.311424299 2716.311424299 2646.335583926 2646.335583926 2649.853352016
1836044288 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2030.207360657 2036.733308961 2016.022118414 1982.931768225 2028.539480451 1979.916631016 2009.901344476 2009.901344476 2009.901344476 1970.085908354 1970.085908354 2019.604875153
2065549824 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2028.472708907 2035.768676897 2015.639140345 1982.509273739 2028.230461823 1979.706131547 2001.031244830 2001.031244830 2001.031244830 1944.570817463 1944.570817463 1986.686978918
2295055360 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2027.853386127 2033.033545965 2006.548296430 1979.774142807 2019.244181148 1979.706131547 1982.819817848 2000.913472904 2000.913472904 1941.130576662 1941.130576662 1964.791970875
2524560896 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 2027.853386127 2032.844599648 2005.847166716 1969.734609919 2019.143149311 1969.814880202 1976.836266328 1990.871714137 1990.871714137 1920.513029836 1920.513029836 1954.926437337
2754066432 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1939.784611942 1926.289485590 1968.811814156 1933.643770264 1956.110954859 1933.724040547 1940.875759997 1965.971700302 1965.971700302 1913.875584584 1913.875584584 1915.849439575
2983571968 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1939.784611942 1921.578043788 1955.929941535 1933.643770264 1956.110954859 1933.724040547 1933.291815523 1955.929941535 1955.929941535 1910.936889817 1910.936889817 1911.108523260
3213077504 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1924.640589620 1921.578043788 1955.929941535 1933.643770264 1940.817040361 1933.724040547 1921.152696275 1955.929941535 1955.929941535 1910.936889817 1910.936889817 1913.511570599
3442583040 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1924.640589620 1910.936889817 1932.121839916 1910.936919894 1940.817040361 1911.017190177 1911.291950832 1932.121839916 1932.121839916 1910.936889817 1910.936889817 1910.936889817
3672088576 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.936889817 1911.672204586 1910.936889817 1932.121839916 1910.936919894 1926.869684185 1911.017190177 1911.291950832 1932.121839916 1932.121839916 1910.936889817 1910.936889817 1910.936889817
1836044288 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3609.687214066 3582.557828069 3598.012934988 3581.459502765 3664.048252076 3512.303340903 3434.568369025 3574.644716192 3574.644716192 3452.080418314 3452.080418314 3537.147030981
2065549824 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296777079 3524.563738186 3565.059715142 3572.529769583 3549.343117694 3663.872697419 3511.031957919 3408.850865536 3556.052882782 3556.052882782 3369.974038114 3369.974038114 3471.913853927
