capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
904 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2839.907848998 2738.731879280 2770.735543431 2821.525757283 2768.137067892 2771.478591767 2726.868237880 2694.650647771 2836.742267484 2836.742267484 2665.402838849 2665.402838849 2721.284714073  
1016 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2803.957907399 2629.426721365 2749.641659777 2730.288440805 2719.926566473 2751.469850436 2691.059169078 2664.528390822 2840.631021597 2840.631021597 2589.930485487 2589.930485487 2719.535787292  
1128 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2766.800220104 2604.148915487 2689.204978694 2654.562955150 2677.398166528 2666.678002638 2645.531934237 2674.119045596 2738.303864172 2738.303864172 2559.936361750 2559.936361750 2708.116014263  
1240 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2745.515211007 2568.735622217 2679.222248702 2639.896427103 2657.645368248 2651.166684923 2619.975268997 2563.487967470 2697.523747130 2697.523747130 2538.161225645 2538.161225645 2703.617143141  
1352 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2742.040987566 2544.705230494 2658.877050457 2634.650312844 2653.141374636 2647.781274215 2604.741627940 2522.433651368 2666.694654283 2666.694654283 2525.604226752 2525.604226752 2698.696677462  
1464 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2696.560226387 2541.422786440 2650.304813431 2600.119692605 2629.382604164 2640.056429645 2602.049999830 2527.792605075 2661.341819707 2661.341819707 2523.046099258 2523.046099258 2631.183717060  
1576 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2688.270359312 2500.802873270 2577.672002855 2597.139132065 2627.171625996 2569.486852294 2521.247794652 2503.179309598 2583.644207389 2583.644207389 2540.594483360 2540.594483360 2621.289569780  
1688 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2673.924943096 2487.153636554 2575.007895145 2592.230232833 2625.717763975 2568.416678130 2520.228099820 2527.779320529 2594.772838430 2594.772838430 2531.529065487 2531.529065487 2612.767473060  
1800 2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718 2659.619273754 2487.153461567 2560.465509155 2582.702363765 2612.750319848 2555.539774420 2513.801814639 2503.578246292 2583.773392614 2583.773392614 2525.256908417 2525.256908417 2565.351891912  
904 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 3288.838459743 3117.587738071 3175.179404380 3149.675568895 3229.164284267 3121.310849371 3182.743279843 3088.248895163 3267.569918577 3267.569918577 3079.052319662 3079.052319662 3123.769212243  
